,p10,p25,p50,p75,p90
ALL,0.0008285714285714246,0.0009071428571428841,0.0009892857142857164,0.0011142857142857105,0.0012178571428571672
Asian,0.0008507142857142079,0.0008779761904761982,0.0009207142857143144,0.0009785714285714478,0.0011257142857142742
London,0.0007714285714285198,0.0008589285714285878,0.0009892857142857164,0.0010553571428571654,0.0012914285714286037
Overlap,0.0009292857142857404,0.0010428571428571073,0.001099999999999982,0.001144642857142858,0.0012057142857143067
