session,LONG,NEUTRAL,SHORT
Asian,0.14285714285714285,0.38095238095238093,0.47619047619047616
London,0.20967741935483872,0.43548387096774194,0.3548387096774194
Overlap,0.4666666666666667,0.36666666666666664,0.16666666666666666
