horizon_bars,mean,std,p01,p05,p10,p25,p50,p75,p90,p95,p99
1,-8.602430842867979e-06,0.0006732575001978763,-0.00149725058836248,-0.0009599692849144414,-0.0007987858455149599,-0.00047938638542677214,-7.994244144216012e-05,0.0004003202562048447,0.0007996673494321538,0.0009625256683419625,0.001205614103156254
3,7.397780662110221e-06,0.0011732056402805246,-0.0024934501080620653,-0.0017639375570940642,-0.001315117868044102,-0.000639361497967339,-8.004482510204358e-05,0.0005609202337031327,0.001344361690413631,0.0019228614350272678,0.003653077877150956
6,4.636553743411368e-05,0.0015757091001310035,-0.003535713444717964,-0.0023455774997360288,-0.0018520915417524985,-0.0009809326419179254,0.0,0.0009594818809351424,0.0020931507736730256,0.0029725365188434925,0.003694266054442541
12,0.00013499889487932382,0.0022257739020442014,-0.004884177287295386,-0.0037653963634110333,-0.002561229734556991,-0.0011010961647745232,-8.011548182645933e-05,0.0016411843325816466,0.0032121812149658257,0.003726400407359509,0.004279304148876842
24,0.0005209493269343548,0.0025536382661063284,-0.005312155286454172,-0.004231677785777204,-0.003313832695244811,-0.0008806708347019465,0.0007611841118365659,0.0022520711011018157,0.004082418912859787,0.004552067522444176,0.004942783517711899
