iter	RMSE
0	0.3532830456
1	0.3529076689
2	0.3520561651
3	0.3516358432
4	0.3507607255
5	0.3504658174
6	0.3496304438
7	0.3489063681
8	0.3479666457
9	0.3470246395
10	0.3466017856
11	0.3459749744
12	0.3453196335
13	0.3444726837
14	0.3438282981
15	0.3431138336
16	0.3427328171
17	0.3419472064
18	0.3411847705
19	0.3405555281
20	0.3402235639
21	0.3396863054
22	0.3388300054
23	0.3380800576
24	0.3372674132
25	0.3364377873
26	0.3356992549
27	0.335142742
28	0.3343380632
29	0.3337309329
30	0.3332837246
31	0.3325868984
32	0.3319087893
33	0.3310839992
34	0.3307939804
35	0.3301916685
36	0.3293764785
37	0.3289789179
38	0.3285560179
39	0.3278264017
40	0.327497076
41	0.3266074854
42	0.3259001443
43	0.325231274
44	0.3242512129
45	0.3237461035
46	0.3231702685
47	0.3223872546
48	0.3216533822
49	0.3211869316
50	0.3202198386
51	0.3197732764
